Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-07-26,146.27,146.46,144.47,145.36,3932361.0,0.0,1.0,126.07794110104996,126.24171226950007,124.52642476836456,125.29356339952568,3932361.0
2017-07-25,146.57,147.49,146.03,146.19,4208895.0,0.0,1.0,126.3365271564975,127.12952439320337,125.87107225669189,126.00898481959726,4208895.0
2017-07-24,147.0,147.04,145.8,145.99,3877265.0,0.0,1.0,126.70716716930568,126.74164531003201,125.67282294751544,125.83659411596557,3877265.0
2017-07-21,147.59,147.87,146.51,147.08,6509459.0,0.0,1.0,127.21571974501923,127.45706673010362,126.28480994540799,126.77612345075838,6509459.0
2017-07-20,147.53,148.83,147.03,147.66,7211874.0,0.0,1.0,127.1640025339297,128.28454210753583,126.73302577485043,127.27605649129032,7211874.0
2017-07-19,150.02,150.25,146.71,147.53,14293610.0,0.0,1.0,129.3102667941445,129.50851610332094,126.4572006490397,127.1640025339297,14293610.0
2017-07-18,152.36,154.29,152.0,154.0,7566818.0,0.0,1.0,131.32723802663548,132.99080831668144,131.0169347600984,132.74084179641548,7566818.0
2017-07-17,153.59,153.88,152.2399,153.01,4759840.0,0.0,1.0,132.38744085397047,132.63740737423643,131.22371740910464,131.8875078134385,4759840.0
2017-07-14,154.01,154.615,153.4,154.24,3256198.0,0.0,1.0,132.74946133159705,133.27094321008298,132.22366968552035,132.94771064077352,3256198.0
2017-07-13,153.7,154.19,153.19,153.63,2476112.0,0.0,1.0,132.4822557409679,132.9046129648656,132.04265944670706,132.42191899469682,2476112.0
2017-07-12,153.48,154.24,153.05,153.7,3097850.0,0.0,1.0,132.29262596697302,132.94771064077352,131.92198595416488,132.4822557409679,3097850.0
2017-07-11,153.26,153.65,152.05,153.19,3447509.0,0.0,1.0,132.10299619297814,132.43915806505998,131.06003243600634,132.04265944670706,3447509.0
2017-07-10,152.91,153.89,152.63,153.42,3206209.0,0.0,1.0,131.80131246162267,132.64602690941803,131.55996547653828,132.2409087558835,3206209.0
2017-07-07,152.62,153.49,152.14,152.94,2460060.0,0.0,1.0,131.5513459413567,132.30124550215461,131.13760825264058,131.82717106716743,2460060.0
2017-07-06,153.36,153.83,152.23,152.36,2757522.0,0.0,1.0,132.18919154479403,132.59430969832854,131.21518406927484,131.32723802663548,2757522.0
2017-07-05,155.77,155.89,153.63,153.67,3564354.0,0.0,1.0,134.2664995235561,134.3699339457351,132.42191899469682,132.45639713542315,3564354.0
2017-07-03,153.58,156.025,153.52,155.58,2822651.0,0.0,1.0,132.3788213187889,134.48629767068653,132.32710410769937,134.102728355106,2822651.0
2017-06-30,154.28,154.5,153.14,153.83,3571536.0,0.0,1.0,132.98218878149987,133.17181855549475,131.99956177079912,132.59430969832854,3571536.0
2017-06-29,155.35,155.74,153.62,154.13,3262159.0,0.0,1.0,133.9044790459295,134.24064091801134,132.41329945951523,132.85289575377607,3262159.0
2017-06-28,155.15,155.55,154.78,155.32,2217254.0,0.0,1.0,133.7320883422978,134.0768697495612,133.41316554057914,133.87862044038474,2217254.0
2017-06-27,155.0,155.34,154.5,154.75,2386491.0,0.0,1.0,133.60279531457402,133.89585951074793,133.17181855549475,133.3873069350344,2386491.0
